timestamp,energy_demand_kWh,hour,day_of_week,is_weekend,lag_1,lag_24
2011-01-02 00:00:00,223.2238349885408,0,6,1,235.4621848739497,169.5187165775401
2011-01-02 01:00:00,230.0993124522536,1,6,1,223.2238349885408,236.218487394958
2011-01-02 02:00:00,235.4545454545455,2,6,1,230.0993124522536,247.69289533995422
2011-01-02 03:00:00,229.3353705118411,3,6,1,235.4545454545455,236.2184873949579
2011-01-02 04:00:00,233.9190221543162,4,6,1,229.3353705118411,249.2284186401834
2011-01-02 05:00:00,228.5790679908327,5,6,1,233.9190221543162,236.9824293353705
2011-01-02 06:00:00,372.299465240642,6,6,1,228.5790679908327,258.3957219251337
2011-01-02 07:00:00,487.01298701298697,7,6,1,372.299465240642,256.86019862490457
2011-01-02 08:00:00,524.766997708175,8,6,1,487.01298701298697,290.5042016806723
2011-01-02 09:00:00,586.814362108481,9,6,1,524.766997708175,292.0320855614973
2011-01-02 10:00:00,607.494270435448,10,6,1,586.814362108481,288.2123758594347
2011-01-02 11:00:00,605.9740259740261,11,6,1,607.494270435448,298.91520244461424
2011-01-02 12:00:00,625.889992360581,12,6,1,605.9740259740261,303.4988540870894
2011-01-02 13:00:00,567.662337662337,13,6,1,625.889992360581,298.91520244461424
2011-01-02 14:00:00,618.227654698244,14,6,1,567.662337662337,316.4858670741023
2011-01-02 15:00:00,551.573720397249,15,6,1,618.227654698244,298.1512605042017
2011-01-02 16:00:00,564.598930481284,16,6,1,551.573720397249,311.1459129106187
2011-01-02 17:00:00,630.48128342246,17,6,1,564.598930481284,320.305576776165
2011-01-02 18:00:00,651.168831168831,18,6,1,630.48128342246,326.4323911382735
2011-01-02 19:00:00,632.773109243697,19,6,1,651.168831168831,330.2521008403362
2011-01-02 20:00:00,584.522536287242,20,6,1,632.773109243697,325.66844919786104
2011-01-02 21:00:00,560.771581359817,21,6,1,584.522536287242,314.9579831932773
2011-01-02 22:00:00,423.0404889228419,22,6,1,560.771581359817,268.3346065699007
2011-01-02 23:00:00,256.1038961038961,23,6,1,423.0404889228419,235.4621848739497
2011-01-03 00:00:00,241.5660809778457,0,0,0,256.1038961038961,223.2238349885408
2011-01-03 01:00:00,253.048128342246,1,0,0,241.5660809778457,230.0993124522536
2011-01-03 02:00:00,253.04812834224612,2,0,0,253.048128342246,235.4545454545455
2011-01-03 03:00:00,250.75630252100842,3,0,0,253.04812834224612,229.3353705118411
2011-01-03 04:00:00,256.1038961038961,4,0,0,250.75630252100842,233.9190221543162
2011-01-03 05:00:00,246.9289533995416,5,0,0,256.1038961038961,228.5790679908327
2011-01-03 06:00:00,413.85790679908314,6,0,0,246.9289533995416,372.299465240642
2011-01-03 07:00:00,542.383498854088,7,0,0,413.85790679908314,487.01298701298697
2011-01-03 08:00:00,556.165011459129,8,0,0,542.383498854088,524.766997708175
2011-01-03 09:00:00,577.631779984722,9,0,0,556.165011459129,586.814362108481
2011-01-03 10:00:00,605.20244461421,10,0,0,577.631779984722,607.494270435448
2011-01-03 11:00:00,580.68754774637,11,0,0,605.20244461421,605.9740259740261
2011-01-03 12:00:00,609.8013750954931,12,0,0,580.68754774637,625.889992360581
2011-01-03 13:00:00,579.923605805959,13,0,0,609.8013750954931,567.662337662337
2011-01-03 14:00:00,559.243697478992,14,0,0,579.923605805959,618.227654698244
2011-01-03 15:00:00,560.0,15,0,0,559.243697478992,551.573720397249
2011-01-03 16:00:00,591.420932009166,16,0,0,560.0,564.598930481284
2011-01-03 17:00:00,623.590527119939,17,0,0,591.420932009166,630.48128342246
2011-01-03 18:00:00,625.88999236058,18,0,0,623.590527119939,651.168831168831
2011-01-03 19:00:00,617.456073338426,19,0,0,625.88999236058,632.773109243697
2011-01-03 20:00:00,584.522536287243,20,0,0,617.456073338426,584.522536287242
2011-01-03 21:00:00,577.624140565317,21,0,0,584.522536287243,560.771581359817
2011-01-03 22:00:00,448.2734912146674,22,0,0,577.624140565317,423.0404889228419
2011-01-03 23:00:00,262.2230710466005,23,0,0,448.2734912146674,256.1038961038961
2011-01-04 00:00:00,240.80977845683742,0,1,0,262.2230710466005,241.5660809778457
2011-01-04 01:00:00,241.5737203972499,1,1,0,240.80977845683742,253.048128342246
